RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
"53328059","20241106","F","60대","서울특별시","300이상500만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53328163","20241106","F","20대","경기도","무응답","비슷하다","조금 커졌다","비슷하다","조금 커졌다","매우 커졌다","조금 커졌다","비슷하다","비슷하다"
"53328318","20241106","M","40대","경상남도","300만원 미만","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 커졌다","매우 커졌다","매우 작아졌다","매우 작아졌다","매우 커졌다"
"53328489","20241106","M","30대","서울특별시","무응답","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다"
"53328532","20241106","M","50대","대구광역시","500이상700만원 미만","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다"
"53328577","20241106","M","30대","경상남도","700만원 이상","비슷하다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","매우 커졌다","조금 커졌다","조금 커졌다"
"53328787","20241106","F","50대","경기도","500이상700만원 미만","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다"
"53329090","20241106","M","30대","경기도","500이상700만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53329131","20241106","F","30대","부산광역시","500이상700만원 미만","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","조금 작아졌다","조금 커졌다"
"53329142","20241106","M","60대","강원도","700만원 이상","비슷하다","비슷하다","비슷하다","비슷하다","매우 커졌다","비슷하다","비슷하다","조금 커졌다"
"53329184","20241106","F","60대","경기도","700만원 이상","비슷하다","조금 작아졌다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","비슷하다","조금 작아졌다"
"53329232","20241106","F","40대","부산광역시","300이상500만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53329284","20241106","F","40대","충청북도","700만원 이상","조금 커졌다","조금 작아졌다","조금 커졌다","조금 커졌다","조금 커졌다","매우 커졌다","매우 커졌다","조금 작아졌다"
"53329595","20241106","F","50대","대구광역시","500이상700만원 미만","비슷하다","비슷하다","비슷하다","조금 커졌다","비슷하다","비슷하다","조금 작아졌다","비슷하다"
"53329853","20241106","F","30대","서울특별시","무응답","비슷하다","비슷하다","비슷하다","비슷하다","조금 커졌다","비슷하다","조금 커졌다","비슷하다"
"53329910","20241106","M","40대","전라남도","300이상500만원 미만","매우 작아졌다","매우 작아졌다","매우 작아졌다","조금 작아졌다","매우 작아졌다","비슷하다","매우 작아졌다","조금 작아졌다"
"53329955","20241106","F","60대","경기도","500이상700만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다"
"53330023","20241106","F","30대","경기도","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53330215","20241106","F","30대","서울특별시","무응답","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다"
"53330308","20241106","F","50대","인천광역시","500이상700만원 미만","비슷하다","조금 작아졌다","매우 작아졌다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","매우 작아졌다"
"53330373","20241106","M","30대","경기도","700만원 이상","조금 작아졌다","매우 작아졌다","조금 작아졌다","조금 작아졌다","조금 커졌다","비슷하다","비슷하다","조금 작아졌다"
"53330417","20241106","M","50대","전라남도","700만원 이상","비슷하다","비슷하다","비슷하다","비슷하다","조금 커졌다","비슷하다","조금 커졌다","비슷하다"
"53330444","20241106","F","50대","인천광역시","700만원 이상","비슷하다","비슷하다","비슷하다","조금 작아졌다","조금 커졌다","비슷하다","조금 작아졌다","비슷하다"
"53330599","20241106","F","30대","서울특별시","300이상500만원 미만","비슷하다","조금 커졌다","비슷하다","매우 커졌다","매우 커졌다","비슷하다","매우 커졌다","비슷하다"
"53330770","20241106","M","40대","충청남도","무응답","조금 커졌다","비슷하다","비슷하다","비슷하다","조금 커졌다","매우 커졌다","비슷하다","비슷하다"
"53330784","20241106","F","20대","대구광역시","700만원 이상","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","비슷하다","비슷하다","비슷하다"
"53330821","20241106","F","40대","서울특별시","무응답","조금 작아졌다","조금 작아졌다","비슷하다","조금 작아졌다","비슷하다","조금 커졌다","비슷하다","비슷하다"
"53330862","20241106","M","30대","전라남도","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
